id,calcium,calory,carbohydrate,cholesterol,code,copper,fat,fiber_dietary,health_light,iodine,iron,is_liquid,kalium,lactoflavin,magnesium,manganese,name,natrium,niacin,protein,selenium,thiamine,thumb_image_url,vitamin_a,vitamin_c,vitamin_e,weight,zinc,category
18529,,46,11,,meizhiyuanredaiguoliguozhi,,0,0,2,,,TRUE,,,,,ÃÀÖ­Ô´ ÈÈ´ø¹ûÁ£¹ûÖ­,,,0,,,http://s.boohee.cn/house/upload_food/2009/1/31/149493_1233335413mid.jpg,,,,100,,10
18543,118,73,8.5,,mengniusuanniunaiyuanwei_xiaohezhuang,0,3.1,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£ËáÅ£ÄÌÔ­Î¶£¨Ð¡ºÐ×°£©,,0.2,2.8,1.7,0,http://s.boohee.cn/house/upload_food/2009/1/31/164472_1233405992mid.jpg,26,1,0.1,100,0.5,6
18545,,33,7.2,,sandeliliqumocha,,0.3,0,2,,,TRUE,,,,,ÈýµÃÀûÀûÈ¤Ä¨²è,,,0.7,,,http://s.boohee.cn/house/upload_food/2009/1/31/198969_1233407144mid.jpg,,,,100,,10
18547,120,62,6,,guangmingyouhigaopinzhiniunai,0,3.1,0.2,1,1.9,0.3,TRUE,109,0.1,11,0,¹âÃ÷ÓÅ£«¸ßÆ·ÖÊÅ£ÄÌ(ÀûÀÖÕí£©,,0.1,3.3,1.9,0,http://s.boohee.cn/house/upload_food/2009/1/31/198969_1233408229mid.jpg,24,1,0.2,100,0.3,6
18560,,237,46.6,,PAULquanmaimianbao,,1.7,8,1,,4.8,FALSE,,,88,,PAUL È«ÂóÃæ°ü,572,,9.1,,,http://s.boohee.cn/house/upload_food/2009/2/3/129336_1233624521mid.jpg,,,,100,,1
18564,118,78,14,,yiliyoulaoru_youpinjiaren_huanyanlanmei,0,1.2,0.1,1,0.9,0.4,FALSE,150,0.2,12,0,ÒÁÀûÓÅÆ·¼ÎÈËÓÅÀÒÈé¡¤ËáÅ£ÄÌ[»ÀÑÕÀ¶Ý®],,0.2,2.5,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/2/194709_1233580268mid.jpg,26,1,0.1,100,0.5,6
18572,250,415,76,,bingquansushidoufuhua,,7,0,1,,,FALSE,,,,,±ùÈª ËÙÊ³¶¹¸¯»¨,60,,11,,,http://s.boohee.cn/house/upload_food/2013/12/4/1730656_1386144167mid.jpg,,,,100,,10
18574,,40,10,,bomiguocaizhi,,0,0,2,,,TRUE,,,,,²¨ÃÜ¹û²ËÖ­,,,0,,,http://s.boohee.cn/house/upload_food/2009/2/3/204975_1233632556mid.jpg,,,,100,,10
18588,680,462,56,,quechaoquanzhitiannaifen,,18,0,2,,,FALSE,,,,,È¸³²È«Ö¬ÌðÄÌ·Û,,,18.6,,,http://s.boohee.cn/house/upload_food/2009/2/4/105556_1233703257mid.jpg,630,,,100,,6
18612,,430,74,,letianmihua,,14,0,2,,,FALSE,,,,,ÀÖÌìÃ×»¨,,,8,,,http://s.boohee.cn/house/upload_food/2009/2/8/154381_1234024816mid.jpg,,,,100,,11
18632,,31,7.6,,kangshifumolimicha,,0,0,2,,,TRUE,,,,,¿µÊ¦¸µÜÔÀòÃÛ²è,,,0,,,http://s.boohee.cn/house/upload_food/2009/2/8/154381_1234023358mid.jpg,,,,100,,10
18637,118,54,3.5,,yilimutangchunsuannai,0,3.1,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÒÁÀûÄ¾ÌÇ´¼ËáÄÌ,,0.2,3,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/8/171668_1234058716mid.jpg,26,1,0.1,100,0.5,6
18661,720,536,44,,meiguoxianyaqiyizi,,31.1,28,2,,,FALSE,,,,,ÃÀ¹úÏËÑÅÆæÒì×Ó,,,20,,,http://s.boohee.cn/house/upload_food/2009/2/9/205303_1234165071mid.jpg,44,,,100,,12
18668,,504,63.4,,silangxianfuxiaohuabingditangshucai,,24.1,6.8,2,,,FALSE,,,,,Ë¼ÀÊ ÏËôïÏû»¯±ýµÍÌÇÊß²Ë,97,,8.2,,,http://s.boohee.cn/house/upload_food/2009/2/10/194709_1234231499mid.jpg,,,,100,,11
18673,,358,10.4,,gongdaoganlancai,,33.3,0,3,,,FALSE,,,,,¹¬µº éÏé­²Ë,3773,,4.2,,,http://s.boohee.cn/house/upload_food/2009/2/10/156362_1234271709mid.jpg,,,,100,,9
18701,,478,73.9,,chaoji3he1ditangkafei,,18.5,0,3,,,FALSE,,,,,³¬¼¶3ºÏ1µÍÌÇ¿§·È,,,1.5,,,http://s.boohee.cn/house/upload_food/2009/2/12/205428_1234443171mid.jpg,,,,100,,10
18717,118,35,4.2,,naiqiledizhiwutangsuanniunai,0,1.2,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÄËÆæÀÖµÍÖ¬ÎÞÌÇËáÅ£ÄÌ,,0.2,2.3,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/14/109080_1234606158mid.jpg,26,1,0.1,100,0.5,6
18736,120,32,4.6,,quechaotuozhichunniunai,0,0.3,0,1,1.9,0.3,TRUE,109,0.1,11,0,È¸³²ÍÑÖ¬´¿Å£ÄÌ,,0.1,3.1,1.9,0,http://s.boohee.cn/house/upload_food/2009/2/15/206556_1234670046mid.jpg,24,1,0.2,100,0.3,6
18737,95,69,13.5,,mengniuguanyirusuanniunai0zhifang,0,0,0.2,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£ 0Ö¬·¾¹ÚÒæÈéËáÅ£ÄÌ Æ¿×°250g,60,0.2,3.3,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/15/206556_1234670302mid.jpg,26,1,0.1,100,0.5,6
18745,,500,68,,EDOtilamisuweihuabing,,22,2,3,,,FALSE,,,,,EDOÌáÀ­Ã×ËÕÍþ»¯±ý,,,7,,,http://s.boohee.cn/house/upload_food/2009/2/16/91710_1234750968mid.jpg,,,,100,,11
18749,118,63,5.6,,mengniumutangchunsuannai,0,3.2,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£Ä¾ÌÇ´¼ËáÄÌ,,0.2,3,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/16/107102_1234768920mid.jpg,26,1,0.1,100,0.5,6
18750,118,78,14,,yiliyoupinjiarenyoulaoru,0,1.2,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÒÁÀû ÓÅÆ·¼ÎÈËÓÅÀÒÈéËáÅ£ÄÌ,,0.2,2.5,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/16/107102_1234769104mid.jpg,26,1,0.1,100,0.5,6
18764,,454,70.6,,wangwanghoushaohaitai,,15.8,0,2,,,FALSE,,,,,ÍúÍúºñÉÕº£Ì¦,,,7.3,,,http://s.boohee.cn/house/upload_food/2009/2/18/129068_1234942883mid.jpg,,,,100,,11
18768,118,69,13.5,,mengniu0zhifangsuanniunai,0,0,0.2,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£0Ö¬·¾¹ÚÒæÈéËáÅ£ÄÌ,,0.2,3.3,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/18/197706_1234956479mid.jpg,26,1,0.1,100,0.5,6
18775,118,84,13,,weiquanyoulaorusuanniunai_jiankangculianghihilanmeikouwei,0,2.2,0,1,0.9,0.4,FALSE,150,0.2,12,0,Î¶È« ÓÅÀÒÈéËáÅ£ÄÌ½¡¿µ´ÖÁ¸£¨À¶Ý®¿ÚÎ¶£©,,0.2,3,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/20/147939_1235092000mid.jpg,26,1,0.1,100,0.5,6
